5600,5600,5425,5425
5400,5500,5350,5450
5475,5475,5350,5400
5375,5475,5350,5475
5425,5450,5375,5425
5400,5400,5375,5400
5400,5550,5400,5550
5575,5575,5475,5550
5475,5525,5450,5525
5475,5550,5400,5550
5500,5525,5450,5525
5475,5550,5475,5550
5500,5575,5500,5575
5550,5600,5475,5475
5425,5475,5400,5400
5425,5475,5375,5450
5450,5500,5425,5425
5500,5550,5450,5475
5500,5500,5425,5450
5400,5450,5400,5450
5450,5475,5400,5425
5400,5425,5375,5375
5425,5500,5400,5400
5375,5450,5375,5425
5450,5475,5425,5450
5425,5475,5425,5450
5450,5525,5425,5525
5550,5625,5525,5575
5625,5700,5600,5625
5575,5650,5550,5625
5600,5625,5575,5625
5600,5650,5600,5600
5625,5700,5625,5650
5700,5700,5650,5675
5675,5750,5650,5650
5625,5700,5625,5700
5700,5700,5650,5650
5650,5750,5650,5700
5650,5725,5650,5700
5675,5750,5650,5700
5700,5725,5575,5575
5600,5725,5575,5700
5700,5750,5600,5625
5650,5725,5625,5700
5675,5725,5675,5700
5675,5700,5650,5650
5650,5675,5575,5650
5650,5675,5575,5575
5550,5575,5450,5525
5500,5600,5500,5575
5550,5575,5500,5500
5500,5625,5500,5575
5600,5625,5575,5600
5625,5625,5550,5550
5550,5600,5525,5600
5600,5625,5550,5550
5525,5600,5525,5600
5600,5600,5500,5525
5525,5550,5475,5550
5600,5600,5525,5575
5600,5625,5575,5625
5625,5650,5600,5625
5625,5650,5575,5575
5525,5550,5450,5450
5425,5450,5300,5350
5350,5425,5300,5425
5450,5475,5375,5375
5350,5425,5350,5400
5325,5425,5325,5425
5400,5450,5375,5375
5350,5400,5300,5325
5325,5375,5300,5375
5350,5450,5350,5375
5425,5425,5350,5350
5350,5425,5350,5350
5325,5350,5200,5300
5250,5275,5200,5200
5175,5300,5175,5225
5300,5325,5225,5225
5250,5300,5250,5250
5250,5300,5250,5275
5250,5275,5200,5250
5250,5275,5175,5175
5200,5250,5175,5175
5200,5225,5125,5125
5125,5250,5125,5175
5150,5275,5150,5250
5300,5375,5275,5300
5275,5325,5250,5275
5325,5325,5250,5250
5250,5275,5150,5150
5125,5225,5125,5150
5100,5150,5000,5000
4980,5100,4960,5050
5000,5075,4990,5000
5000,5100,4950,5100
5100,5200,5100,5175
5175,5175,4920,4920
4950,5050,4940,5000
4980,5025,4970,5000
4980,5000,4960,4960
4920,4960,4830,4830
4940,5075,4910,5000
5025,5175,5025,5100
5100,5200,5100,5200
5225,5275,5175,5250
5200,5250,5175,5225
5225,5275,5200,5200
5150,5150,5050,5075
5075,5125,5025,5025
5075,5125,5050,5075
5200,5300,5175,5250
5275,5275,5175,5250
5175,5250,5175,5225
5175,5275,5175,5250
5225,5250,5175,5200
5175,5300,5175,5275
5325,5400,5300,5350
5400,5450,5375,5400
5425,5450,5350,5350
5325,5425,5325,5350
5350,5375,5300,5300
5375,5375,5275,5275
5275,5375,5275,5350
5450,5575,5450,5500
5425,5500,5425,5450
5425,5450,5400,5425
5400,5475,5400,5475
5425,5450,5375,5375
5325,5375,5300,5300
5375,5400,5325,5325
5300,5350,5275,5300
5450,5550,5425,5550
5575,5600,5550,5550
5575,5575,5500,5500
5450,5550,5450,5550
5700,5700,5550,5550
5550,5600,5525,5575
5650,5700,5600,5675
5700,5725,5625,5625
5700,5750,5675,5725
5750,5750,5675,5725
5650,5675,5625,5675
5625,5650,5600,5600
5600,5700,5575,5700
5725,5850,5700,5750
5750,5800,5625,5625
5625,5700,5625,5700
5625,5700,5625,5700
5750,5800,5700,5750
5800,5850,5775,5850
5850,5900,5775,5825
5825,5875,5775,5825
5825,5825,5750,5775
5800,5800,5700,5750
5750,5800,5700,5800
5775,5800,5700,5775
5700,5750,5650,5700
5675,5700,5575,5650
5575,5650,5525,5525
5450,5475,5400,5425
5400,5575,5400,5575
5525,5650,5475,5625
5725,5775,5675,5700
5775,5800,5725,5750
5800,5850,5750,5850
5800,5825,5750,5775
5900,5900,5800,5825
5850,5900,5825,5850
5875,6025,5850,6025
6050,6050,5950,6000
6275,6275,6100,6125
6150,6200,6125,6150
6125,6175,6075,6100
6175,6300,6175,6300
6325,6375,6225,6300
6250,6300,6225,6250
6125,6175,6050,6125
6100,6200,6075,6175
6125,6200,6125,6125
6100,6225,6100,6225
6150,6200,6125,6125
6175,6175,6075,6125
6125,6125,6050,6050
6100,6175,6075,6125
6100,6200,6100,6200
6200,6275,6200,6225
6275,6400,6250,6350
6350,6450,6350,6400
6175,6200,6050,6150
6000,6075,5950,5975
6000,6100,5975,6000
6000,6050,5975,6000
6000,6100,6000,6100
6175,6200,6100,6100
6050,6125,6050,6125
6250,6250,6125,6250
6300,6300,6200,6300
6300,6325,6225,6250
6100,6200,6025,6050
6000,6025,5825,5925
5850,5950,5625,5675
5575,5675,5525,5625
5650,5750,5650,5700
5625,5700,5625,5650
5375,5575,5350,5350
5475,5500,5300,5300
5300,5500,5300,5475
5350,5375,5250,5275
5200,5325,5150,5300
5350,5400,5225,5300
5250,5350,5150,5225
5125,5200,5050,5150
5050,5100,4830,4830
4700,4890,4680,4770
4850,5050,4820,4940
4910,4920,4700,4760
4760,4830,4710,4750
4800,4840,4730,4790
4770,4780,4670,4670
4650,4740,4570,4680
4650,4700,4630,4680
4720,4810,4700,4730
4780,4870,4760,4820
4930,4960,4840,4840
4840,4960,4820,4920
4990,5050,4820,4820
4810,4870,4680,4680
4650,4770,4650,4720
4700,4720,4550,4550
4580,4630,4520,4530
4480,4500,4400,4410
4400,4480,4310,4380
4430,4470,4330,4340
4430,4560,4400,4530
4560,4590,4480,4490
